Faculty_Name,Faculty_Num,Max_Load,Course_Pref,Elec_Pref,Hd_CDC_Pref,Hd_Elec_Pref
Professor_1,1,3,[8 1 11 9],[4 1 5 3],[5 3],[2 1]
Professor_2,2,3,[4 1 13 5],[1 5 3 6],[4 3],[3 2]
Professor_3,3,3,[8 12 9 11],[3 1 2 5],[3 4],[4 3]
Professor_4,4,3,[9 12 1 13],[3 6 2 1],[5 2],[1 3]
Professor_5,5,3,[11 10 7 3],[5 3 1 6],[4 3],[1 4]
Professor_6,6,3,[7 12 10 13],[1 4 6 3],[4 1],[1 2]
Professor_7,7,3,[6 3 11 1],[2 1 3 4],[5 1],[3 4]
Professor_8,8,3,[11 6 4 5],[1 5 6 2],[6 4],[1 4]
Professor_9,9,2,[8 6 12 4],[2 3 5 4],[5 3],[1 4]
Professor_10,10,2,[7 11 12 13],[3 2 4 6],[3 4],[3 1]
Professor_11,11,2,[5 6 3 1],[6 4 1 2],[3 1],[3 4]
Professor_12,12,2,[10 3 5 12],[6 4 1 5],[1 5],[2 4]
Professor_13,13,2,[10 12 6 8],[3 4 2 6],[6 1],[1 2]
Professor_14,14,2,[2 5 11 9],[4 3 1 6],[6 5],[1 3]
Professor_15,15,2,[4 13 3 9],[6 2 4 5],[2 3],[1 3]
Professor_16,16,2,[13 6 8 9],[2 6 4 5],[4 2],[4 2]
Professor_17,17,2,[1 6 10 13],[2 4 3 6],[1 5],[2 4]
Professor_18,18,2,[2 12 5 10],[2 5 6 1],[4 1],[2 1]
Professor_19,19,2,[9 3 10 13],[1 2 6 5],[6 5],[4 1]
Professor_20,20,2,[4 9 6 5],[3 5 4 6],[3 5],[2 4]
Professor_21,21,2,[10 1 13 9],[3 5 6 2],[3 1],[2 3]
Professor_22,22,2,[6 4 11 9],[6 1 5 2],[6 1],[4 2]
