Faculty_Name,Faculty_Num,Max_Load,Course_Pref,Elec_Pref,Hd_CDC_Pref,Hd_Elec_Pref
Professor_1,1,3,[10 13 3 2],[4 8 7 3],[4 6],[2 4]
Professor_2,2,3,[11 1 8 9],[7 9 8 5],[5 4],[1 4]
Professor_3,3,3,[13 1 9 7],[4 2 3 5],[2 4],[3 1]
Professor_4,4,3,[12 6 4 2],[2 1 6 5],[2 1],[1 3]
Professor_5,5,3,[6 13 11 4],[9 4 2 8],[2 3],[3 1]
Professor_6,6,3,[1 2 3 4],[7 9 8 6],[3 4],[2 4]
Professor_7,7,3,[11 1 6 9],[1 4 6 5],[3 2],[1 2]
Professor_8,8,3,[10 11 4 8],[7 6 2 9],[4 1],[2 4]
Professor_9,9,3,[12 2 8 5],[3 5 7 6],[4 3],[2 3]
Professor_10,10,3,[7 5 2 6],[2 5 7 3],[6 5],[3 2]
Professor_11,11,3,[8 4 13 3],[3 8 6 9],[1 2],[1 2]
Professor_12,12,2,[7 3 11 13],[6 1 8 2],[1 5],[3 2]
Professor_13,13,2,[2 11 10 5],[3 1 4 7],[5 3],[4 3]
Professor_14,14,2,[12 3 2 13],[1 7 8 9],[6 2],[1 2]
Professor_15,15,2,[1 8 5 9],[7 8 4 3],[4 1],[2 4]
Professor_16,16,2,[2 11 13 12],[6 9 8 4],[6 3],[2 4]
Professor_17,17,2,[8 12 6 7],[4 3 6 2],[3 4],[4 1]
Professor_18,18,2,[1 4 2 7],[4 9 1 5],[6 2],[1 2]
Professor_19,19,2,[10 13 2 7],[1 8 2 3],[5 1],[2 3]
Professor_20,20,2,[4 6 11 3],[7 4 1 2],[5 4],[1 2]
Professor_21,21,2,[7 9 2 3],[7 5 1 2],[2 5],[3 2]
Professor_22,22,2,[12 2 11 13],[9 2 1 4],[4 1],[4 1]
Professor_23,23,2,[6 12 13 3],[9 8 5 7],[6 1],[2 1]
Professor_24,24,2,[11 6 7 10],[9 4 6 8],[3 6],[4 1]
Professor_25,25,2,[9 7 10 3],[7 4 9 5],[5 3],[2 1]
Professor_26,26,2,[1 7 11 8],[8 6 2 1],[2 6],[2 1]
Professor_27,27,2,[8 7 3 9],[8 9 5 6],[4 5],[4 1]
Professor_28,28,2,[12 7 5 1],[1 3 4 9],[5 4],[1 3]
Professor_29,29,2,[13 5 2 8],[8 9 4 3],[6 4],[2 4]
Professor_30,30,2,[4 10 3 5],[7 9 1 4],[6 1],[3 4]
