Faculty_Name,Faculty_Num,Max_Load,Course_Pref,Elec_Pref,Hd_CDC_Pref,Hd_Elec_Pref
Professor_1,1,3,[7 6 11 1],[7 1 3 12],[5 1],[3 8]
Professor_2,2,3,[10 4 3 6],[4 3 2 12],[2 5],[7 8]
Professor_3,3,3,[10 7 2 5],[9 3 8 7],[6 1],[8 1]
Professor_4,4,3,[6 12 2 1],[4 11 8 2],[5 4],[5 7]
Professor_5,5,3,[4 5 9 8],[12 6 7 8],[6 5],[1 5]
Professor_6,6,3,[8 7 1 4],[8 1 10 6],[5 3],[8 4]
Professor_7,7,3,[9 8 11 3],[1 4 12 3],[1 2],[1 2]
Professor_8,8,3,[7 4 5 8],[5 10 4 7],[4 6],[5 8]
Professor_9,9,3,[12 9 10 8],[6 7 5 3],[2 6],[7 2]
Professor_10,10,2,[8 10 3 11],[6 3 2 4],[4 2],[6 1]
Professor_11,11,2,[2 7 8 12],[9 11 2 4],[4 5],[5 8]
Professor_12,12,2,[11 1 8 3],[12 4 2 5],[5 4],[3 4]
Professor_13,13,2,[4 2 1 6],[8 10 1 7],[6 3],[1 5]
Professor_14,14,2,[10 2 6 5],[5 3 10 4],[2 3],[8 2]
Professor_15,15,2,[1 7 12 10],[8 9 12 3],[6 2],[2 8]
Professor_16,16,2,[7 4 12 2],[8 7 1 2],[6 3],[5 8]
Professor_17,17,2,[12 2 9 3],[11 9 4 2],[4 5],[1 2]
Professor_18,18,2,[6 1 7 9],[11 10 12 1],[6 5],[4 1]
Professor_19,19,2,[12 6 2 5],[9 5 4 1],[4 1],[4 7]
Professor_20,20,2,[2 8 5 10],[10 7 12 8],[4 6],[6 4]
Professor_21,21,2,[12 7 5 1],[12 10 4 5],[3 2],[4 2]
Professor_22,22,2,[8 3 4 12],[7 3 1 6],[1 3],[4 1]
Professor_23,23,2,[7 11 1 5],[9 1 2 8],[1 2],[5 4]
Professor_24,24,2,[2 4 8 7],[8 2 3 12],[6 1],[3 8]
Professor_25,25,2,[4 5 10 3],[10 12 3 6],[5 1],[5 8]
