Faculty_Name,Faculty_Num,Max_Load,Course_Pref,Elec_Pref,Hd_CDC_Pref,Hd_Elec_Pref
Professor_1,1,3,[1 2 11 7],[7 4 3 2],[3 1],[8 1]
Professor_2,2,3,[10 2 1 3],[6 3 4 7],[2 3],[6 2]
Professor_3,3,3,[9 8 2 4],[6 2 1 5],[4 1],[8 5]
Professor_4,4,3,[9 2 1 5],[3 7 6 4],[4 1],[7 6]
Professor_5,5,3,[3 2 7 6],[7 4 2 6],[4 1],[8 2]
Professor_6,6,3,[9 2 4 1],[4 6 7 2],[3 1],[5 4]
Professor_7,7,3,[3 10 5 2],[3 6 4 2],[2 3],[5 2]
Professor_8,8,2,[9 1 3 5],[1 6 5 2],[3 4],[3 5]
Professor_9,9,2,[7 11 2 5],[3 5 4 1],[4 1],[2 6]
Professor_10,10,2,[3 10 4 7],[1 7 5 6],[3 2],[6 2]
Professor_11,11,2,[1 6 3 8],[6 7 2 5],[3 4],[5 2]
Professor_12,12,2,[9 8 2 3],[4 5 6 1],[3 2],[5 3]
Professor_13,13,2,[5 8 3 6],[7 1 2 4],[2 1],[7 6]
Professor_14,14,2,[7 3 1 2],[7 3 2 5],[1 2],[1 5]
Professor_15,15,2,[7 4 5 6],[2 1 4 7],[2 3],[5 3]
Professor_16,16,2,[3 5 2 11],[2 3 7 6],[2 1],[8 4]
Professor_17,17,2,[10 6 9 11],[1 6 3 4],[2 3],[3 6]
Professor_18,18,2,[8 1 2 4],[1 7 2 5],[4 2],[7 4]
Professor_19,19,2,[9 4 8 1],[6 3 5 4],[3 2],[8 3]
Professor_20,20,2,[7 6 4 5],[7 1 6 2],[1 3],[8 4]
