Faculty_Name,Faculty_Num,Max_Load,Course_Pref,Elec_Pref,Hd_CDC_Pref,Hd_Elec_Pref
Professor_1,1,3,[1 9 3 10],[1 4 2 3],[2 3],[6 2]
Professor_2,2,3,[6 2 9 4],[3 4 1 2],[6 3],[7 1]
Professor_3,3,3,[7 8 10 5],[3 4 2 1],[2 3],[1 5]
Professor_4,4,3,[4 3 8 10],[4 2 1 3],[6 5],[2 8]
Professor_5,5,3,[3 1 5 6],[3 4 1 2],[5 2],[1 7]
Professor_6,6,2,[8 7 6 10],[1 2 4 3],[2 3],[2 3]
Professor_7,7,2,[6 3 10 2],[2 3 1 4],[5 2],[4 7]
Professor_8,8,2,[6 9 10 5],[1 4 3 2],[1 5],[8 5]
Professor_9,9,2,[6 5 7 1],[3 1 4 2],[3 1],[1 8]
Professor_10,10,2,[4 10 6 8],[3 2 1 4],[3 2],[3 7]
Professor_11,11,2,[1 9 5 2],[4 1 2 3],[4 1],[4 5]
Professor_12,12,2,[7 9 3 1],[2 1 4 3],[6 1],[8 2]
Professor_13,13,2,[2 3 10 8],[3 4 2 1],[1 6],[8 4]
Professor_14,14,2,[8 2 4 10],[3 2 4 1],[1 3],[7 3]
Professor_15,15,2,[5 7 6 8],[3 2 1 4],[5 3],[7 2]
