Faculty_Name,Faculty_Num,Max_Load,Course_Pref,Elec_Pref,Hd_CDC_Pref,Hd_Elec_Pref
Professor_1,1,3,[6 12 10 8],[3 7 10 4],[6 1],[4 6]
Professor_2,2,3,[4 9 6 8],[3 8 6 12],[5 2],[5 1]
Professor_3,3,3,[2 8 11 7],[7 5 12 10],[2 4],[1 8]
Professor_4,4,3,[11 6 1 3],[3 2 1 10],[2 6],[6 5]
Professor_5,5,3,[11 5 2 12],[9 6 4 12],[5 4],[6 8]
Professor_6,6,3,[3 10 7 4],[3 10 4 5],[5 2],[7 4]
Professor_7,7,3,[9 3 11 12],[8 11 5 9],[5 3],[1 2]
Professor_8,8,3,[12 11 9 4],[12 3 4 1],[2 5],[8 1]
Professor_9,9,3,[3 2 9 4],[10 6 9 4],[3 4],[1 8]
Professor_10,10,2,[6 12 11 3],[4 6 3 7],[5 3],[7 6]
Professor_11,11,2,[11 4 1 6],[3 8 9 12],[6 4],[5 3]
Professor_12,12,2,[12 3 4 1],[12 10 3 1],[3 1],[3 4]
Professor_13,13,2,[12 11 4 1],[12 3 10 6],[3 2],[6 5]
Professor_14,14,2,[11 7 1 2],[11 1 3 5],[4 1],[7 6]
Professor_15,15,2,[5 9 4 8],[1 10 3 7],[3 1],[7 8]
Professor_16,16,2,[7 2 12 10],[6 7 12 2],[6 3],[5 7]
Professor_17,17,2,[2 9 10 11],[4 2 8 6],[1 5],[1 8]
Professor_18,18,2,[2 12 3 1],[2 5 7 4],[4 5],[1 8]
Professor_19,19,2,[2 10 7 12],[3 9 10 12],[2 1],[8 2]
Professor_20,20,2,[6 9 5 1],[5 4 9 6],[5 1],[2 1]
Professor_21,21,2,[1 8 4 6],[5 1 3 4],[3 1],[2 3]
Professor_22,22,2,[7 8 4 5],[12 3 11 10],[1 5],[8 5]
Professor_23,23,2,[6 7 9 2],[1 2 8 4],[5 3],[1 3]
Professor_24,24,2,[11 2 6 12],[1 2 9 6],[5 4],[1 8]
Professor_25,25,2,[8 6 1 9],[11 3 1 2],[4 6],[4 1]
